timestamp,event type,value,duration of event,
11:01:54.869,Closed suggested questions (blue) card.,,33.638,
11:02:28.507,Viewed glossary popup:,Endergonic-Reaction,14.781,
11:02:43.288,Viewed glossary popup:,Exergonic-Reaction,12.722,
11:02:56.010,Viewed glossary popup:,Exergonic-Reaction,5.508,
11:03:01.518,Viewed glossary popup:,Exergonic-Reaction,9.512,
11:03:11.030,Viewed glossary popup:,Endergonic-Reaction,9.854,
11:03:20.884,Created highlight:,endergonic reaction,0.037,
11:03:20.921,Viewed note card for:,endergonic reaction,0.003,
11:03:20.924,Viewed suggested questions (blue card) for:,endergonic reaction,1.506,
11:03:22.430,Closed suggested questions (blue) card.,,3.221,
11:03:25.651,Created highlight:,exergonic reaction,0.046,
11:03:25.697,Viewed note card for:,exergonic reaction,0.003,
11:03:25.700,Viewed suggested questions (blue card) for:,exergonic reaction,1.421,
11:03:27.121,Closed suggested questions (blue) card.,,0.0,
11:03:27.121,Viewed note card for:,exergonic reaction,0.729,
11:03:27.850,Started editing note card for:,exergonic reaction,33.04,
11:04:00.890,Edited note card:,Endo kräver fri energi medan exo släpper ut fri energi,0.007,
11:04:00.897,Closed note card.,,32.711,
11:04:33.608,Created highlight:,A reaction in which one substance transfers one or more electrons to another substance is called an oxidation–reduction or redox reaction.,0.04,
11:04:33.648,Viewed note card for:,A reaction in which one substance transfers one or more electrons to another substance is called an oxidation–reduction or redox reaction.,0.003,
11:04:33.651,Viewed suggested questions (blue card) for:,A reaction in which one substance transfers one or more electrons to another substance is called an oxidation–reduction or redox reaction.,0.541,
11:04:34.192,Closed suggested questions (blue) card.,,3.742,
11:04:37.934,Created highlight:,Reduction,0.035,
11:04:37.969,Viewed note card for:,Reduction,0.003,
11:04:37.972,Viewed suggested questions (blue card) for:,Reduction,1.46,
11:04:39.432,Closed suggested questions (blue) card.,,0.677,
11:04:40.109,Created highlight:,Oxidation,0.04,
11:04:40.149,Viewed note card for:,Oxidation,0.003,
11:04:40.152,Viewed suggested questions (blue card) for:,Oxidation,0.363,
11:04:40.515,Closed suggested questions (blue) card.,,10.739,
11:04:51.254,Viewed note card for:,Reduction,1.252,
11:04:52.506,Started editing note card for:,Reduction,15.074,
11:05:07.580,Edited note card:,Tjänar en elektron,0.01,
11:05:07.590,Closed note card.,,1.214,
11:05:08.804,Viewed note card for:,Oxidation,0.851,
11:05:09.655,Started editing note card for:,Oxidation,8.15,
11:05:17.805,Edited note card:,Tappar en elektron,0.016,
11:05:17.821,Closed note card.,,14.437,
11:05:32.258,Created highlight:,Oxidation and reduction always occur together: as one chemical is oxidized the electrons it loses are transferred to another chemical reducing it.,0.042,
11:05:32.300,Viewed note card for:,Oxidation and reduction always occur together: as one chemical is oxidized the electrons it loses are transferred to another chemical reducing it.,0.003,
11:05:32.303,Viewed suggested questions (blue card) for:,Oxidation and reduction always occur together: as one chemical is oxidized the electrons it loses are transferred to another chemical reducing it.,0.404,
11:05:32.707,Closed suggested questions (blue) card.,,4.898,
11:05:37.605,Viewed note card for:,Oxidation,1.558,
11:05:39.163,Started editing note card for:,Oxidation,21.445,
11:06:00.608,Edited note card:,Tappar en elektron —> svettas,0.01,
11:06:00.618,Closed note card.,,0.003,
11:06:00.621,Viewed note card for:,Reduction,1.169,
11:06:01.790,Started editing note card for:,Reduction,20.919,
11:06:22.709,Edited note card:,Tjänar en elektron—> dricker tar till sig,0.015,
11:06:22.724,Closed note card.,,55.729,
11:07:18.453,Created highlight:,reaction,0.046,
11:07:18.499,Viewed note card for:,reaction,0.003,
11:07:18.502,Viewed suggested questions (blue card) for:,reaction,2.508,
11:07:21.010,Closed suggested questions (blue) card.,,0.095,
11:07:21.105,Viewed glossary popup:,Redox-Reaction,4.008,
11:07:25.113,Open image/cmap:,unfig9_16,1.299,
11:07:26.412,Closed image/cmap.,,3.462,
11:07:29.874,Open image/cmap:,unfig9_16,1.137,
11:07:31.011,Closed image/cmap.,,2.989,
11:07:34.000,Created highlight:,redox,0.044,
11:07:34.044,Viewed note card for:,redox,0.003,
11:07:34.047,Viewed suggested questions (blue card) for:,redox,3.687,
11:07:37.734,Created highlight:,reactant,0.039,
11:07:37.773,Closed suggested questions (blue) card.,,0.003,
11:07:37.776,Viewed note card for:,reactant,0.003,
11:07:37.779,Viewed suggested questions (blue card) for:,reactant,2.737,
11:07:40.516,Created highlight:,reduced,0.044,
11:07:40.560,Closed suggested questions (blue) card.,,0.002,
11:07:40.562,Viewed note card for:,reduced,0.003,
11:07:40.565,Viewed suggested questions (blue card) for:,reduced,1.467,
11:07:42.032,Closed suggested questions (blue) card.,,0.97,
11:07:43.002,Created highlight:,oxidizing,0.039,
11:07:43.041,Viewed note card for:,oxidizing,0.003,
11:07:43.044,Viewed suggested questions (blue card) for:,oxidizing,1.778,
11:07:44.822,Closed suggested questions (blue) card.,,0.944,
11:07:45.766,Created highlight:,agent,0.038,
11:07:45.804,Viewed note card for:,agent,0.003,
11:07:45.807,Viewed suggested questions (blue card) for:,agent,4.31,
11:07:50.117,Created highlight:,oxidized,0.042,
11:07:50.159,Closed suggested questions (blue) card.,,0.003,
11:07:50.162,Viewed note card for:,oxidized,0.002,
11:07:50.164,Viewed suggested questions (blue card) for:,oxidized,1.234,
11:07:51.398,Closed suggested questions (blue) card.,,0.994,
11:07:52.392,Created highlight:,reducing,0.042,
11:07:52.434,Viewed note card for:,reducing,0.003,
11:07:52.437,Viewed suggested questions (blue card) for:,reducing,1.181,
11:07:53.618,Closed suggested questions (blue) card.,,0.765,
11:07:54.383,Created highlight:,agent,0.04,
11:07:54.423,Viewed note card for:,agent,0.003,
11:07:54.426,Viewed suggested questions (blue card) for:,agent,0.959,
11:07:55.385,Closed suggested questions (blue) card.,,0.415,
11:07:55.800,Open image/cmap:,unfig9_16,0.978,
11:07:56.778,Closed image/cmap.,,18.791,
11:08:15.569,Viewed note card for:,agent,0.996,
11:08:16.565,Closed note card.,,1.17,
11:08:17.735,Viewed note card for:,agent,0.482,
11:08:18.217,Closed note card.,,40.228,
11:08:58.445,Created highlight:,In the metabolism of glucose: Glucose is the reducing agent (electron donor). O2 is the oxidizing agent (electron acceptor). ,0.035,
11:08:58.480,Viewed note card for:,In the metabolism of glucose: Glucose is the reducing agent (electron donor). O2 is the oxidizing agent (electron acceptor). ,0.003,
11:08:58.483,Viewed suggested questions (blue card) for:,In the metabolism of glucose: Glucose is the reducing agent (electron donor). O2 is the oxidizing agent (electron acceptor). ,5.159,
11:09:03.642,Closed suggested questions (blue) card.,,0.001,
11:09:03.643,Viewed note card for:,In the metabolism of glucose: Glucose is the reducing agent (electron donor). O2 is the oxidizing agent (electron acceptor). ,1.129,
11:09:04.772,Started editing note card for:,In the metabolism of glucose: Glucose is the reducing agent (electron donor). O2 is the oxidizing agent (electron acceptor). ,63.078,
11:10:07.850,Edited note card:,Omvänt när vi talar om ”agenterna”.... reducing agent donerar medan oxidizing agenten tar emot....,1.348,
11:10:09.198,Closed note card.,,4.102,
11:10:13.300,Viewed glossary popup:,Reducing-Agent,0.825,
11:10:14.125,Viewed note card for:,In the metabolism of glucose: Glucose is the reducing agent (electron donor). O2 is the oxidizing agent (electron acceptor). ,8.279,
11:10:22.404,Closed note card.,,0.075,
11:10:22.479,Viewed glossary popup:,Redox-Reaction,11.893,
11:10:34.372,Created highlight:,Although oxidation and reduction are always defined in terms of electrons it is often simpler to think in terms of the gain or loss of hydrogen atoms.,0.044,
11:10:34.416,Viewed note card for:,Although oxidation and reduction are always defined in terms of electrons it is often simpler to think in terms of the gain or loss of hydrogen atoms.,0.003,
11:10:34.419,Viewed suggested questions (blue card) for:,Although oxidation and reduction are always defined in terms of electrons it is often simpler to think in terms of the gain or loss of hydrogen atoms.,0.432,
11:10:34.851,Closed suggested questions (blue) card.,,5.746,
11:10:40.597,Open image/cmap:,figure9-2,17.489,
11:10:58.086,Closed image/cmap.,,7.349,
11:11:05.435,Created highlight:,So when a molecule loses hydrogen atoms it becomes oxidized,0.038,
11:11:05.473,Viewed note card for:,So when a molecule loses hydrogen atoms it becomes oxidized,0.002,
11:11:05.475,Viewed suggested questions (blue card) for:,So when a molecule loses hydrogen atoms it becomes oxidized,0.824,
11:11:06.299,Closed suggested questions (blue) card.,,29.008,
11:11:35.307,Created highlight:,The more reduced a molecule is the more energy is stored in its covalent bonds (Figure 9.2).,0.041,
11:11:35.348,Viewed note card for:,The more reduced a molecule is the more energy is stored in its covalent bonds (Figure 9.2).,0.002,
11:11:35.350,Viewed suggested questions (blue card) for:,The more reduced a molecule is the more energy is stored in its covalent bonds (Figure 9.2).,0.572,
11:11:35.922,Closed suggested questions (blue) card.,,0.039,
11:11:35.961,Viewed glossary popup:,Reducing-Agent,5.711,
11:11:41.672,Viewed glossary popup:,Reducing-Agent,2.495,
11:11:44.167,Open image/cmap:,figure9-2,1.059,
11:11:45.226,Closed image/cmap.,,17.944,
11:12:03.170,Viewed glossary popup:,Coenzyme,64.08,
11:13:07.250,Created highlight:,small molecules that assist in enzyme-catalyzed reactions,0.038,
11:13:07.288,Viewed note card for:,small molecules that assist in enzyme-catalyzed reactions,0.003,
11:13:07.291,Viewed suggested questions (blue card) for:,small molecules that assist in enzyme-catalyzed reactions,0.539,
11:13:07.830,Closed suggested questions (blue) card.,,2.196,
11:13:10.026,Created highlight:,coenzymes,0.042,
11:13:10.068,Viewed note card for:,coenzymes,0.002,
11:13:10.070,Viewed suggested questions (blue card) for:,coenzymes,0.565,
11:13:10.635,Closed suggested questions (blue) card.,,26.753,
11:13:37.388,Created highlight:,NAD+) acts as an electron carrier in redox reactions.,0.044,
11:13:37.432,Viewed note card for:,NAD+) acts as an electron carrier in redox reactions.,0.003,
11:13:37.435,Viewed suggested questions (blue card) for:,NAD+) acts as an electron carrier in redox reactions.,0.967,
11:13:38.402,Closed suggested questions (blue) card.,,0.412,
11:13:38.814,Open image/cmap:,unfig9_17,20.168,
11:13:58.982,Closed image/cmap.,,20.703,
11:14:19.685,Created highlight:,As you can see NAD+ exists in two chemically distinct forms one oxidized (NAD+) and the other reduced (NADH),0.041,
11:14:19.726,Viewed note card for:,As you can see NAD+ exists in two chemically distinct forms one oxidized (NAD+) and the other reduced (NADH),0.003,
11:14:19.729,Viewed suggested questions (blue card) for:,As you can see NAD+ exists in two chemically distinct forms one oxidized (NAD+) and the other reduced (NADH),0.949,
11:14:20.678,Closed suggested questions (blue) card.,,18.91,
11:14:39.588,Open image/cmap:,figure9-3,11.429,
11:14:51.017,Closed image/cmap.,,94.451,
11:16:25.468,Viewed glossary popup:,Exergonic-Process,12.963,
11:16:38.431,Created highlight:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,0.036,
11:16:38.467,Viewed note card for:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,0.003,
11:16:38.470,Viewed suggested questions (blue card) for:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,3.567,
11:16:42.037,Closed suggested questions (blue) card.,,7.296,
11:16:49.333,Viewed note card for:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,5.659,
11:16:54.992,Closed note card.,,46.125,
11:17:41.117,Viewed note card for:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,1.045,
11:17:42.162,Started editing note card for:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,12.051,
11:17:54.213,Edited note card:,Highlite funktionen bråkar,0.013,
11:17:54.226,Closed note card.,,12.23,
11:18:06.456,Created highlight:,Just as ATP can be thought of as a package of 7.3 kcal/mol (30.5 kJ/mol) of free energy NADH can be thought of as a larger package of free energy (52.4 kcal/mol, see above).,0.042
11:18:06.498,Viewed note card for:,Just as ATP can be thought of as a package of 7.3 kcal/mol (30.5 kJ/mol) of free energy NADH can be thought of as a larger package of free energy (52.4 kcal/mol, see above).,0.003
11:18:06.501,Viewed suggested questions (blue card) for:,Just as ATP can be thought of as a package of 7.3 kcal/mol (30.5 kJ/mol) of free energy NADH can be thought of as a larger package of free energy (52.4 kcal/mol, see above).,0.679
11:18:07.180,Closed suggested questions (blue) card.,,28.696,
11:18:35.876,Created highlight:,Another carrier flavin adenine dinucleotide (FAD) also transfers electrons during glucose metabolism.,0.041,
11:18:35.917,Viewed note card for:,Another carrier flavin adenine dinucleotide (FAD) also transfers electrons during glucose metabolism.,0.003,
11:18:35.920,Viewed suggested questions (blue card) for:,Another carrier flavin adenine dinucleotide (FAD) also transfers electrons during glucose metabolism.,0.618,
11:18:36.538,Closed suggested questions (blue) card.,,30.34,
11:19:06.878,Viewed glossary popup:,Prokaryote,12.198,
11:19:19.076,Viewed glossary popup:,Metabolic-Pathway,16.22,
11:19:35.296,Created highlight:,Under aerobic conditions when O2 is available as the final electron acceptor four pathways operate,0.041,
11:19:35.337,Viewed note card for:,Under aerobic conditions when O2 is available as the final electron acceptor four pathways operate,0.002,
11:19:35.339,Viewed suggested questions (blue card) for:,Under aerobic conditions when O2 is available as the final electron acceptor four pathways operate,0.821,
11:19:36.160,Closed suggested questions (blue) card.,,19.476,
11:19:55.636,Created highlight:,Glycolysis is followed by the three pathways of cellular respiration: pyruvate oxidation the citric acid cycle (also called the Krebs cycle or the tricarboxylic acid cycle) and electron transport/ATP synthesis,0.036,
11:19:55.672,Viewed note card for:,Glycolysis is followed by the three pathways of cellular respiration: pyruvate oxidation the citric acid cycle (also called the Krebs cycle or the tricarboxylic acid cycle) and electron transport/ATP synthesis,0.003,
11:19:55.675,Viewed suggested questions (blue card) for:,Glycolysis is followed by the three pathways of cellular respiration: pyruvate oxidation the citric acid cycle (also called the Krebs cycle or the tricarboxylic acid cycle) and electron transport/ATP synthesis,2.724,
11:19:58.399,Closed suggested questions (blue) card.,,0.0,
11:19:58.399,Viewed note card for:,Glycolysis is followed by the three pathways of cellular respiration: pyruvate oxidation the citric acid cycle (also called the Krebs cycle or the tricarboxylic acid cycle) and electron transport/ATP synthesis,0.7,
11:19:59.099,Started editing note card for:,Glycolysis is followed by the three pathways of cellular respiration: pyruvate oxidation the citric acid cycle (also called the Krebs cycle or the tricarboxylic acid cycle) and electron transport/ATP synthesis,91.399,
11:21:30.498,Edited note card:,Glykolysen är följd med tre olika cellulära respirationssystem pyruvat oxidation citron-syra-cykeln och elektrontransportkedjan,0.014,
11:21:30.512,Closed note card.,,30.127,
11:22:00.639,Created highlight:,In eukaryotes and many prokaryotes pyruvate oxidation the citric acid cycle and oxidative phosphorylation do not function under anaerobic conditions.,0.037,
11:22:00.676,Viewed note card for:,In eukaryotes and many prokaryotes pyruvate oxidation the citric acid cycle and oxidative phosphorylation do not function under anaerobic conditions.,0.003,
11:22:00.679,Viewed suggested questions (blue card) for:,In eukaryotes and many prokaryotes pyruvate oxidation the citric acid cycle and oxidative phosphorylation do not function under anaerobic conditions.,0.669,
11:22:01.348,Closed suggested questions (blue) card.,,15.808,
11:22:17.156,Created highlight:,pyruvate produced by glycolysis is further metabolized by fermentation,0.045,
11:22:17.201,Viewed note card for:,pyruvate produced by glycolysis is further metabolized by fermentation,0.003,
11:22:17.204,Viewed suggested questions (blue card) for:,pyruvate produced by glycolysis is further metabolized by fermentation,3.687,
11:22:20.891,Closed suggested questions (blue) card.,,44.527,
11:23:05.418,Open image/cmap:,table9_1,2.018,
11:23:07.436,Closed image/cmap.,,22.257,
11:23:29.693,App stopped.,,242.59,
11:27:32.283,Logging started.,,62.653,
11:28:34.936,Open image/cmap:,figure9-4,18.606,
11:28:53.542,Closed image/cmap.,,111.974,
11:30:45.516,Viewed note card for:,The electrons do not remain with the coenzyme. Oxygen is highly electronegative and readily accepts electrons from NADH. The oxidation of NADH by O2 (which occurs in several steps) is exergonic with a standard free energy change at pH 7 (ΔG°) of –52.4 kcal/mol (–219 kJ/mol). Note that the oxidizing agent appears here as “½ O2” instead of “O.” This notation emphasizes that it is molecular oxygen O2 that acts as the oxidizing agent.,2.544,
11:30:48.060,Closed note card.,,0.416,
11:30:48.476,Open image/cmap:,figure9-3,1.898,
11:30:50.374,Closed image/cmap.,,19.278,
11:31:09.652,Open image/cmap:,figure9-1,15.53,
11:31:25.182,Closed image/cmap.,,29.265,
11:31:54.447,App stopped.,,484.491,
11:39:58.938,Logging started.,,25.519,
11:40:24.457,Open page:,chapter9-2,173.343,
11:43:17.800,Open image/cmap:,figure9-5,48.907,
11:44:06.707,Closed image/cmap.,,26.515,
11:44:33.222,Created highlight:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,0.037,
11:44:33.259,Viewed note card for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,0.016,
11:44:33.275,Viewed suggested questions (blue card) for:,Pyruvate is then converted to CO2 in a second series of reactions beginning with pyruvate oxidation and followed by the citric acid cycle.,0.454,
11:44:33.729,Closed suggested questions (blue) card.,,0.419,
11:44:34.148,Open page:,chapter9-2,92.716,
11:46:06.864,Created highlight:,Glycolysis takes place in the cytoplasm and involves ten enzyme-catalyzed reactions,0.04,
11:46:06.904,Viewed note card for:,Glycolysis takes place in the cytoplasm and involves ten enzyme-catalyzed reactions,0.003,
11:46:06.907,Viewed suggested questions (blue card) for:,Glycolysis takes place in the cytoplasm and involves ten enzyme-catalyzed reactions,0.35,
11:46:07.257,Closed suggested questions (blue) card.,,0.803,
11:46:08.060,Viewed glossary popup:,Glycolysis,193.944,
11:49:22.004,Created highlight:,some of the covalent bonds between carbon and hydrogen atoms in the glucose molecule are oxidized releasing some of the stored energy.,0.037,
11:49:22.041,Viewed note card for:,some of the covalent bonds between carbon and hydrogen atoms in the glucose molecule are oxidized releasing some of the stored energy.,0.003,
11:49:22.044,Viewed suggested questions (blue card) for:,some of the covalent bonds between carbon and hydrogen atoms in the glucose molecule are oxidized releasing some of the stored energy.,0.505,
11:49:22.549,Closed suggested questions (blue) card.,,7.913,
11:49:30.462,Created highlight:,NADH,0.034,
11:49:30.496,Viewed note card for:,NADH,0.003,
11:49:30.499,Viewed suggested questions (blue card) for:,NADH,1.107,
11:49:31.606,Closed suggested questions (blue) card.,,0.0,
11:49:31.606,Viewed note card for:,NADH,0.846,
11:49:32.452,Started editing note card for:,NADH,41.653,
11:50:14.105,Edited note card:,Slutprodukt: två pyruvat två ATP och två nadh,0.008,
11:50:14.113,Closed note card.,,11.66,
11:50:25.773,Created highlight:,Glycolysis can be divided into two stages: the initial energy-investing reactions that consume ATP and the energy-harvesting reactions that produce ATP and NADH (see Figure 9.5).,0.037,
11:50:25.810,Viewed note card for:,Glycolysis can be divided into two stages: the initial energy-investing reactions that consume ATP and the energy-harvesting reactions that produce ATP and NADH (see Figure 9.5).,0.003,
11:50:25.813,Viewed suggested questions (blue card) for:,Glycolysis can be divided into two stages: the initial energy-investing reactions that consume ATP and the energy-harvesting reactions that produce ATP and NADH (see Figure 9.5).,0.583,
11:50:26.396,Closed suggested questions (blue) card.,,0.406,
11:50:26.802,Open image/cmap:,unfig9_18,1.145,
11:50:27.947,Closed image/cmap.,,23.222,
11:50:51.169,Open image/cmap:,unfig9_18,9.097,
11:51:00.266,Closed image/cmap.,,2.606,
11:51:02.872,Open image/cmap:,unfig9_18,7.363,
11:51:10.235,Closed image/cmap.,,24.354,
11:51:34.589,Created highlight:,Steps 6 and 7 are examples of two types of reactions that occur repeatedly in glycolysis and in many other metabolic pathways:,0.039,
11:51:34.628,Viewed note card for:,Steps 6 and 7 are examples of two types of reactions that occur repeatedly in glycolysis and in many other metabolic pathways:,0.003,
11:51:34.631,Viewed suggested questions (blue card) for:,Steps 6 and 7 are examples of two types of reactions that occur repeatedly in glycolysis and in many other metabolic pathways:,0.471,
11:51:35.102,Closed suggested questions (blue) card.,,4.513,
11:51:39.615,Created highlight:,Oxidation–reduction,0.041,
11:51:39.656,Viewed note card for:,Oxidation–reduction,0.002,
11:51:39.658,Viewed suggested questions (blue card) for:,Oxidation–reduction,0.728,
11:51:40.386,Closed suggested questions (blue) card.,,6.889,
11:51:47.275,Created highlight:,The first reaction is exergonic,0.046,
11:51:47.321,Viewed note card for:,The first reaction is exergonic,0.003,
11:51:47.324,Viewed suggested questions (blue card) for:,The first reaction is exergonic,0.529,
11:51:47.853,Closed suggested questions (blue) card.,,10.729,
11:51:58.582,Created highlight:,The energy is trapped via the reduction of NAD+ to NADH.,0.037,
11:51:58.619,Viewed note card for:,The energy is trapped via the reduction of NAD+ to NADH.,0.002,
11:51:58.621,Viewed suggested questions (blue card) for:,The energy is trapped via the reduction of NAD+ to NADH.,1.074,
11:51:59.695,Closed suggested questions (blue) card.,,2.958,
11:52:02.653,Viewed glossary popup:,Substrate-Level-Phosphorylation,16.848,
11:52:19.501,Created highlight:,Substrate-level phosphorylation,0.037,
11:52:19.538,Viewed note card for:,Substrate-level phosphorylation,0.003,
11:52:19.541,Viewed suggested questions (blue card) for:,Substrate-level phosphorylation,0.692,
11:52:20.233,Closed suggested questions (blue) card.,,5.576,
11:52:25.809,Created highlight:,The second reaction in this series is also exergonic,0.039,
11:52:25.848,Viewed note card for:,The second reaction in this series is also exergonic,0.003,
11:52:25.851,Viewed suggested questions (blue card) for:,The second reaction in this series is also exergonic,0.478,
11:52:26.329,Closed suggested questions (blue) card.,,4.996,
11:52:31.325,Created highlight:,less energy is released,0.042,
11:52:31.367,Viewed note card for:,less energy is released,0.003,
11:52:31.370,Viewed suggested questions (blue card) for:,less energy is released,1.499,
11:52:32.869,Closed suggested questions (blue) card.,,6.983,
11:52:39.852,Created highlight:,transfer a phosphate directly from the substrate to ADP forming ATP.,0.043,
11:52:39.895,Viewed note card for:,transfer a phosphate directly from the substrate to ADP forming ATP.,0.003,
11:52:39.898,Viewed suggested questions (blue card) for:,transfer a phosphate directly from the substrate to ADP forming ATP.,0.89,
11:52:40.788,Closed suggested questions (blue) card.,,10.827,
11:52:51.615,Created highlight:,The end product of glycolysis pyruvate is somewhat more oxidized than glucose,0.041,
11:52:51.656,Viewed note card for:,The end product of glycolysis pyruvate is somewhat more oxidized than glucose,0.003,
11:52:51.659,Viewed suggested questions (blue card) for:,The end product of glycolysis pyruvate is somewhat more oxidized than glucose,0.354,
11:52:52.013,Closed suggested questions (blue) card.,,13.751,
11:53:05.764,Created highlight:,To summarize,0.04,
11:53:05.804,Viewed note card for:,To summarize,0.003,
11:53:05.807,Viewed suggested questions (blue card) for:,To summarize,1.069,
11:53:06.876,Closed suggested questions (blue) card.,,9.975,
11:53:16.851,Created highlight:,The initial steps of glycolysis use the energy of hydrolysis of two ATP molecules per glucose molecule.,0.043,
11:53:16.894,Viewed note card for:,The initial steps of glycolysis use the energy of hydrolysis of two ATP molecules per glucose molecule.,0.003,
11:53:16.897,Viewed suggested questions (blue card) for:,The initial steps of glycolysis use the energy of hydrolysis of two ATP molecules per glucose molecule.,2.051,
11:53:18.948,Closed suggested questions (blue) card.,,12.234,
11:53:31.182,Created highlight:,The remaining steps produce four ATP molecules per glucose molecule so the net production of ATP is two molecules.,0.037,
11:53:31.219,Viewed note card for:,The remaining steps produce four ATP molecules per glucose molecule so the net production of ATP is two molecules.,0.002,
11:53:31.221,Viewed suggested questions (blue card) for:,The remaining steps produce four ATP molecules per glucose molecule so the net production of ATP is two molecules.,0.52,
11:53:31.741,Closed suggested questions (blue) card.,,62.414,
11:54:34.155,Viewed note card for:,The remaining steps produce four ATP molecules per glucose molecule so the net production of ATP is two molecules.,0.792,
11:54:34.947,Started editing note card for:,The remaining steps produce four ATP molecules per glucose molecule so the net production of ATP is two molecules.,80.805,
11:55:55.752,Edited note card:,Att det skapas 4 men slutresultatet blir 2 beror på att i tidigare steg nyttjas två ATP molekyler i endoprocess... 4 skapas men två krävs i tidigare stadie vilket leder till en vinst på 2 ATP molekyler,0.009,
11:55:55.761,Closed note card.,,4.864,
11:56:00.625,Created highlight:,Glycolysis produces two molecules of NADH.,0.038,
11:56:00.663,Viewed note card for:,Glycolysis produces two molecules of NADH.,0.003,
11:56:00.666,Viewed suggested questions (blue card) for:,Glycolysis produces two molecules of NADH.,0.489,
11:56:01.155,Closed suggested questions (blue) card.,,10.726,
11:56:11.881,App stopped.,,3889.122,
13:01:01.003,Logging started.,,73.191,
13:02:14.194,Created highlight:,In eukaryotes pyruvate is transported into the mitochondrial matrix,0.145,
13:02:14.339,Viewed note card for:,In eukaryotes pyruvate is transported into the mitochondrial matrix,0.011,
13:02:14.350,Viewed suggested questions (blue card) for:,In eukaryotes pyruvate is transported into the mitochondrial matrix,3.082,
13:02:17.432,Closed suggested questions (blue) card.,,8.779,
13:02:26.211,Created highlight:,where the next step in the aerobic catabolism of glucose occurs.,0.041,
13:02:26.252,Viewed note card for:,where the next step in the aerobic catabolism of glucose occurs.,0.003,
13:02:26.255,Viewed suggested questions (blue card) for:,where the next step in the aerobic catabolism of glucose occurs.,3.273,
13:02:29.528,Closed suggested questions (blue) card.,,16.479,
13:02:46.007,Created highlight:,oxidation of pyruvate to a two-carbon acetate molecule and CO2,0.037,
13:02:46.044,Viewed note card for:,oxidation of pyruvate to a two-carbon acetate molecule and CO2,0.002,
13:02:46.046,Viewed suggested questions (blue card) for:,oxidation of pyruvate to a two-carbon acetate molecule and CO2,1.673,
13:02:47.719,Closed suggested questions (blue) card.,,0.391,
13:02:48.110,Open image/cmap:,unfig9_19,1.359,
13:02:49.469,Closed image/cmap.,,48.784,
13:03:38.253,Created highlight:,The acetate is then bound to coenzyme A to form acetyl coenzyme A (acetyl CoA),,0.038
13:03:38.291,Viewed note card for:,The acetate is then bound to coenzyme A to form acetyl coenzyme A (acetyl CoA),,0.003
13:03:38.294,Viewed suggested questions (blue card) for:,The acetate is then bound to coenzyme A to form acetyl coenzyme A (acetyl CoA),,1.22
13:03:39.514,Closed suggested questions (blue) card.,,0.392,
13:03:39.906,Open image/cmap:,unfig9_19,1.073,
13:03:40.979,Closed image/cmap.,,10.616,
13:03:51.595,Created highlight:,Pyruvate is the link between glycolysis and further oxidative reactions (see Figure 9.4).,0.039,
13:03:51.634,Viewed note card for:,Pyruvate is the link between glycolysis and further oxidative reactions (see Figure 9.4).,0.002,
